cutoff	n2	d2
0.05	50	0.764038458876919
0.05	100	0.562616555979268
0.05	150	0.486610412966198
0.05	200	0.445248835130177
0.05	250	0.419735529442066
0.05	300	0.400302676948298
0.05	350	0.385137853816082
0.05	400	0.375105580060035
0.05	450	0.366616055144598
0.05	500	0.360183426560106
0.2	50	0.589311716524477
0.2	100	0.43089563125388
0.2	150	0.366021481804534
0.2	200	0.332832283832089
0.2	250	0.310547806611157
0.2	300	0.291814085106753
0.2	350	0.275609139029814
0.2	400	0.265814351252772
0.2	450	0.256589472785536
0.2	500	0.246992437764919
